"GECU10YR_Index" "USGG10YR_Index" "EUSWI10_CMPN_Curncy" "SPXT_Index" "DAX_Index" "CO1_Comdty" "EURUSD_Curncy" "FWISEU55_Index"
"2009-07-24" 3.477 3.6578 2.3025 1598.5 5229.36 70.32 1.4202 2.6925
"2009-07-31" 3.3 3.4796 2.2425 1612.31 5332.14 71.7 1.4257 2.6305
"2009-08-07" 3.51 3.8502 2.296 1650.73 5458.96 73.59 1.4183 2.632
"2009-08-14" 3.317 3.5688 2.294 1641.54 5309.11 72.41 1.4203 2.634
"2009-08-21" 3.312 3.5649 2.295 1678.84 5462.74 74.19 1.4326 2.6255
"2009-08-28" 3.25 3.4456 2.3 1684.05 5517.35 72.79 1.4303 2.625
"2009-09-04" 3.242 3.4378 2.3005 1664.34 5384.43 66.82 1.4297 2.6405
"2009-09-11" 3.236 3.347 2.315 1708.18 5624.02 67.69 1.4571 2.6385
"2009-09-18" 3.376 3.4632 2.33 1750.43 5703.83 71.32 1.4712 2.665
"2009-09-25" 3.256 3.3184 2.3005 1711.53 5581.41 65.11 1.4689 2.697
"2009-10-02" 3.122 3.2188 2.4 1680.7 5467.9 68.07 1.4576 2.78
"2009-10-09" 3.204 3.3802 2.388 1757.6 5711.88 70 1.4732 2.765
"2009-10-16" 3.286 3.4115 2.357 1784.35 5743.39 76.99 1.4905 2.724
"2009-10-23" 3.348 3.49 2.347 1771.5 5740.25 78.92 1.5008 2.632
"2009-10-30" 3.231 3.3828 2.336 1700.67 5414.96 75.2 1.4719 2.63
"2009-11-06" 3.364 3.4971 2.356 1756.07 5488.25 75.87 1.4847 2.676
"2009-11-13" 3.381 3.4177 2.332 1796.93 5686.83 75.55 1.4903 2.619
"2009-11-20" 3.254 3.3656 2.325 1794.65 5663.15 77.2 1.4862 2.605
"2009-11-27" 3.168 3.2051 2.342 1795.7 5685.61 77.18 1.4988 2.6405
"2009-12-04" 3.238 3.4722 2.3825 1820.11 5817.65 77.52 1.4858 2.6595
"2009-12-11" 3.209 3.5498 2.393 1821.8 5756.29 71.88 1.4615 2.677
"2009-12-18" 3.137 3.5368 2.417 1815.5 5831.21 73.75 1.4338 2.6935
"2009-12-25" 3.315 3.803 2.45 1855.5 5957.44 76.31 1.4411 2.745
"2010-01-01" 3.387 3.835 2.4425 1837.5 5957.43 77.93 1.4324 2.735
"2010-01-08" 3.385 3.8297 2.467 1887.77 6037.61 81.37 1.4409 2.729
"2010-01-15" 3.262 3.6744 2.368 1873.3 5875.97 77.11 1.4387 2.633
"2010-01-22" 3.215 3.6071 2.311 1800.61 5695.32 72.83 1.4139 2.575
"2010-01-29" 3.196 3.5844 2.2982 1771.4 5608.79 71.46 1.3863 2.7014
"2010-02-05" 3.12 3.5654 2.1925 1759.38 5434.34 69.59 1.3678 2.5725
"2010-02-12" 3.192 3.6928 2.205 1776.5 5500.39 72.9 1.3632 2.553
"2010-02-19" 3.285 3.7726 2.208 1833.09 5722.05 78.19 1.3613 2.554
"2010-02-26" 3.101 3.6117 2.183 1826.27 5598.46 77.59 1.3631 2.545
"2010-03-05" 3.156 3.6796 2.26 1883.28 5877.36 79.89 1.3626 2.65
"2010-03-12" 3.167 3.7006 2.214 1903.29 5945.11 79.39 1.3769 2.5832
"2010-03-19" 3.109 3.6892 2.176 1919.8 5982.43 79.88 1.353 2.533
"2010-03-26" 3.15 3.8468 2.177 1931.18 6120.05 79.29 1.341 2.517
"2010-04-02" 3.088 3.9446 2.205 1950.91 6235.56 84.01 1.3504 2.48
"2010-04-09" 3.166 3.8825 2.18 1978.86 6249.7 84.83 1.35 2.403
